id,name,abbreviations,sport_id,region,created_at,updated_at,deleted_at,active
0079a110-cadc-404c-afa5-69be1601845f,Irish Premier Division,"[""SSE Airtricity League Premier Division"",""Príomhroinn Sraith na hÉireann""]",51222775-a589-446d-a25c-1a834968cbbe,,2025-07-06 21:49:21.71288+00,2025-07-06 21:49:21.71288+00,,true
00a50b98-30ba-48a0-bbe3-cabb8fb0bd32,Danish Metal Ligaen,"[""Metal Ligaen""]",7d60f82e-34c4-4823-9d27-5f07122594a6,,2025-07-06 21:49:27.085057+00,2025-07-06 21:49:27.085057+00,,true
01208bab-745e-4371-a979-a6898747c606,CONCACAF Nations League,,51222775-a589-446d-a25c-1a834968cbbe,,2025-07-06 21:49:21.71288+00,2025-07-06 21:49:21.71288+00,,true
0296d567-56d0-4d6f-bce8-26db83d18840,Basketball Champions League,,786ab28a-ed9d-4f47-aaf3-ef5968a7eba9,,2025-07-06 21:49:33.728245+00,2025-07-06 21:49:33.728245+00,,true
032658bd-bf2d-4f61-b347-acbb30fcda55,Asian Games Soccer,,51222775-a589-446d-a25c-1a834968cbbe,,2025-07-06 21:49:21.71288+00,2025-07-06 21:49:21.71288+00,,true
04046ea1-8f42-4a6b-a237-ac849c4fac9c,Norway Toppserien,,51222775-a589-446d-a25c-1a834968cbbe,,2025-07-06 21:49:21.71288+00,2025-07-06 21:49:21.71288+00,,true
047c5114-d722-4506-9012-eaa879c5157a,CAF Confederation Cup,,51222775-a589-446d-a25c-1a834968cbbe,,2025-07-06 21:49:21.71288+00,2025-07-06 21:49:21.71288+00,,true
04833e63-23b5-4aec-9461-d341fe025df2,American SPHL,,7d60f82e-34c4-4823-9d27-5f07122594a6,,2025-07-06 21:49:27.085057+00,2025-07-06 21:49:27.085057+00,,true
04f72c32-3766-4db8-8c96-21d0a8b386ce,FIBA Womens Asia Cup,,786ab28a-ed9d-4f47-aaf3-ef5968a7eba9,,2025-07-06 21:49:33.728245+00,2025-07-06 21:49:33.728245+00,,true
0558550d-c56f-4bd3-ac88-6b8c0381249a,AFC Challenge League,,51222775-a589-446d-a25c-1a834968cbbe,,2025-07-06 21:49:21.71288+00,2025-07-06 21:49:21.71288+00,,true
